nom,date,temps,rate,vote,resume,cover
"35 heures, c'est déjà trop",1999,1h 29m,7.6,298.0,"Trois collègues de bureau qui détestent leur travail décident de se rebeller contre leur patron, être vil et cupide.","https://m.media-amazon.com/images/M/MV5BOTA5MzQ3MzI1NV5BMl5BanBnXkFtZTgwNTcxNTYxMTE@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Le Dernier des Mohicans,1992,1h 52m,7.6,196.0,"En pleine Guerre de la Conquête (1754 - 1763), trois trappeurs sont amenés à protéger la fille d'un colonel de l'Empire Britannique.","https://m.media-amazon.com/images/M/MV5BMzQzMTI1NDktMTJlMy00ZTdiLTk5NTUtOGYzNTI2NDM1YWQwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
The Whale,2022,1h 57m,7.6,243.0,"Un professeur d'anglais reclus, souffrant d'obésité sévère, tente de renouer avec sa fille adolescente, dont il s'est séparé, pour une dernière chance de rédemption.","https://m.media-amazon.com/images/M/MV5BYmNhOWMyNTYtNTljNC00NTU3LWFiYmQtMDBhOGU5NWFhNGU5XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Comancheria,2016,1h 42m,7.6,264.0,"Un père divorcé et son frère aîné, ex-détenu, ont recours à un stratagème désespéré pour sauver le ranch familial dans l'ouest du Texas.","https://m.media-amazon.com/images/M/MV5BZjYzMzQwZWQtNDlhMi00NGJiLTg1ZmMtYmI0ZjYwYTlkMTc3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
La Ligne rouge,1998,2h 50m,7.6,206.0,"Adaptation du roman autobiographique de James Jones datant de 1962, axé sur le conflit de Guadalcanal pendant la seconde guerre mondiale.","https://m.media-amazon.com/images/M/MV5BYjE1Njc2MDMtNGJkNy00Yzg1LWI0ZGEtNDEyMTNmNjM2NTBkXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Anatomie d'une chute,2023,2h 31m,7.6,173.0,"Alors qu'une femme est suspectée du meurtre de son mari, son fils aveugle est placé face à un dilemme moral en tant qu'unique témoin.","https://m.media-amazon.com/images/M/MV5BM2JiMDQxZTYtMmU4Mi00NmE4LTk0OGYtMDA3ZTY3MmJmOGNjXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Les Autres,2001,1h 41m,7.6,408.0,Une femme qui vit dans un vieux manoir sombre avec ses deux enfants allergiques à la lumière est persuadée que sa demeure familiale est hantée.,"https://m.media-amazon.com/images/M/MV5BMmU4OWI1MzYtNWFkNi00YTZhLWFlNzItNWM2Yzg5YzkyYjZkXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Les anges de Boston,1999,1h 48m,7.6,257.0,"Deux frères catholiques irlandais deviennent des justiciers et se donnent pour mission d'anéantir, au nom de Dieu, la criminalité de Boston.","https://m.media-amazon.com/images/M/MV5BOWM5NzU0YmItZmEzMC00ZWQ3LTg2ZGQtMjE2YmU4Nzg0ZTkwXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
Saw,2004,1h 43m,7.6,487.0,Deux inconnus se réveillent dans une pièce sans souvenir comment ils y sont arrivés. Ils découvrent vite qu'ils sont des pions dans un jeu mortel perpétré par un tueur en série mal famé.,"https://m.media-amazon.com/images/M/MV5BY2E0MGUyOWYtNjg2MC00YjFjLWFmNzEtNmJiOGIzMTU0ZTc5XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Minority Report,2002,2h 25m,7.6,600.0,"Dans un avenir où les forces spéciales pourront arrêter des meurtriers avant qu'ils ne commettent leurs crimes, un des officiers est lui-même accusé d'un futur meurtre.","https://m.media-amazon.com/images/M/MV5BNGZiNjhkZDMtNTAyNi00N2NlLWJiYWItZjVjMTUzZTQ4NTlhXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Deadpool 2,2018,1h 59m,7.6,709.0,"Wade Wilson (alias Deadpool), l'insolent mercenaire mutant, rassemble une équipe d'escrocs mutants afin de protéger un jeune garçon aux pouvoirs surnaturels de Cable, un cruel cyborg capable de voyager dans le temps.","https://m.media-amazon.com/images/M/MV5BZjYyNjFkZGMtMmY2Mi00ZDI1LWI0OGYtOTlkNjNiN2QxZDdlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
L'effet papillon,2004,1h 53m,7.6,539.0,"Evan Treborn perd conscience et n'a pas de souvenirs lors d'événements marquants de sa vie. En grandissant, il trouve un moyen de se rappeler de ces souvenirs perdus et un moyen surnaturel de changer sa vie en lisant son journal.","https://m.media-amazon.com/images/M/MV5BZjdiOWUyOWQtNmFmNS00MTRmLWFkMzctOTkzODdiMjY1ZWQzXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Le stratège,2011,2h 13m,7.6,484.0,"Billy Beane, directeur général d'Oakland Athletics, a tenté avec succès de former une équipe de baseball avec un budget réduit en utilisant une analyse automatisée pour attirer de nouveaux joueurs.","https://m.media-amazon.com/images/M/MV5BNGVkOWJkN2YtOTViNi00MzQ5LTk5NGUtYzU4OGZkMjQ2MjAwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Kung Fu Panda,2008,1h 32m,7.6,548.0,"Le Guerrier Dragon doit affronter le sauvage Tai Lung alors que le destin de la Chine est en jeu. Cependant, le manteau de Guerrier Dragon est supposément confondu avec celui d'un panda obèse qui est un novice en arts martiaux.","https://m.media-amazon.com/images/M/MV5BZjk1YjBkN2MtZjE1OS00ZjM5LTgzMmItNmIwMmU1YzFiNDlmXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Gone Baby Gone,2007,1h 54m,7.6,301.0,"Deux détectives de la région de Boston enquêtent sur l'enlèvement d'une petite fille, qui finit par se transformer en crise, tant sur le plan professionnel que personnel.","https://m.media-amazon.com/images/M/MV5BOTlmNmU2NDgtZDU1OS00OTFhLWJlNTgtMWE2OGQ1OTg1MGM4XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
True Grit,2010,1h 50m,7.6,366.0,Un adolescent têtu demande l'aide d'un puissant US Marshal pour retrouver l'assassin de son père.,"https://m.media-amazon.com/images/M/MV5BYTBhYWRhNmItOWJhNi00M2RjLTg2MTYtYWRiYTFhMzFhYjZlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
The Machinist,2004,1h 41m,7.6,428.0,Un ouvrier industriel qui n'a pas dormi depuis un an commence à douter de sa propre santé mentale.,"https://m.media-amazon.com/images/M/MV5BY2I1MmUxYmMtZjk3OC00N2MwLWI2YjAtNGQxODA1Y2I3YTI4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Toy Story 4,2019,1h 40m,7.6,296.0,"Woody et Buzz se lancent dans une quête pour retrouver la bergère, l'amour de Woody.","https://m.media-amazon.com/images/M/MV5BMTgwOTkwNTgxMF5BMl5BanBnXkFtZTgwNTM1MzUzNzM@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Délivrance,1972,1h 49m,7.6,124.0,"Désireux de découvrir la rivière Cahulawassee avant qu'elle ne devienne un immense lac, Lewis Medlock, passionné par les grands espaces, embarque un groupe d'amis pour une excursion en rafting dans l'arrière-pays américain. Ils ne l'oublieront jamais...","https://m.media-amazon.com/images/M/MV5BNjk3YWEyY2UtZTNmYy00MDZiLWEwMjYtOWQzZjNiMTJiZmU2XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Minuit à Paris,2011,1h 34m,7.6,460.0,"Lors d'un voyage à Paris avec la famille de sa fiancée, un scénariste nostalgique se trouve revenir aux années vingt chaque soir à minuit.","https://m.media-amazon.com/images/M/MV5BZTBkNDczYjktMTQ1Yi00MTM1LWExNTktM2RmOWU0YWE5NWU5XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Vampires en toute intimité,2014,1h 26m,7.6,207.0,"Viago, Deacon et Vladislav sont des vampires qui s'aperçoivent que la vie moderne les confrontent au quotidien, comme payer un loyer, suivre le train de la corvée, essayer d'entrer dans les boîtes de nuit et surmonter les conflits entre colocataires.","https://m.media-amazon.com/images/M/MV5BY2JiNjFiYjgtNDdjMS00NWM2LTlkNjEtNGRmZmNhMWFkMmJjXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
After Hours: Quelle nuit de galère,1985,1h 37m,7.6,88.0,"Un opérateur de traitement de texte ordinaire vit la pire nuit de son existence en acceptant de rendre visite à une fille dans Soho, qu'il a rencontrée ce soir-là dans un coffee-shop.","https://m.media-amazon.com/images/M/MV5BMmQ0Mzc5MjAtN2YxMC00MGU0LWE4N2EtMmMyM2I3YjFjMTA3XkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg"
The Raid,2011,1h 41m,7.6,223.0,Une équipe d'élite militaire américaine est prise au piège dans un immeuble géré par un mafieux impitoyable et son armée de tueurs et de voyous.,"https://m.media-amazon.com/images/M/MV5BOGUxM2Q0MzItZDRmYy00ZWY1LWFiNzctNmY3Njg2ODJjZWNmXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
Nos étoiles contraires,2014,2h 6m,7.6,414.0,Deux patients adolescents souffrant du cancer abordent un voyage de découverte de la vie pour rendre visite à un auteur solitaire à Amsterdam,"https://m.media-amazon.com/images/M/MV5BZTI1YTI0ZjEtZDE4Yy00N2U1LWFhYjYtN2QxNjI2OWZiMGUzXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
3h10 pour Yuma,2007,2h 2m,7.6,342.0,Un petit éleveur accepte de retenir un hors-la-loi capturé qui attend un train pour se rendre au tribunal à Yuma. Une bataille de volontés s'ensuit alors que le hors-la-loi tente d'intimider le propriétaire d'un ranch.,"https://m.media-amazon.com/images/M/MV5BNzNlMGI0ODUtOGYwMS00YzY5LWEyMDQtYzEzMjM4YWYxMWY5XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Les oiseaux,1963,1h 59m,7.6,212.0,Une riche jeune femme oisive de San Francisco suit un petit-ami éventuel jusque dans une petite ville du nord de la Californie où son escapade prend une tournure étrange lorsque les oiseaux se mettent brusquement à attaquer les gens.,"https://m.media-amazon.com/images/M/MV5BMTQ0MDYzMjYxN15BMl5BanBnXkFtZTgwOTM5ODcyMjE@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Sur la route de Madison,1995,2h 15m,7.6,93.0,"Le photographe Robert Kincaid erre dans la vie de la ménagère Francesca Johnson, pendant quatre jours dans les années soixante.","https://m.media-amazon.com/images/M/MV5BNjVmODA2ZDMtMmI5MC00ZjYwLWI0N2UtNzI5MzE4OTFiNDA5XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Ponyo sur la falaise,2008,1h 41m,7.6,174.0,"Un garçon de cinq ans noue une relation avec Ponyo, une jeune princesse poisson rouge qui aspire à devenir humaine suite à un coup de foudre pour lui.","https://m.media-amazon.com/images/M/MV5BZTYwMWZhYmMtNjQzMi00YjkxLWI1OGQtZWU4NWJkMDVhNTAwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Dark Waters,2019,2h 6m,7.6,115.0,"Un avocat poursuit en justice une société chimique, révélant un long historique de pollution.","https://m.media-amazon.com/images/M/MV5BMzMzNjZjNDUtNGM1Ni00ZDQyLWI4NGYtMzk1OTJjYWVmOTJjXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Les Mitchell contre les machines,2021,1h 54m,7.6,134.0,Le road trip d'une famille excentrique et dysfonctionnelle est chamboulé lorsque la famille se retrouve au milieu d'une apocalypse et devient soudainement le dernier espoir (le plus improbable) de l'humanité.,"https://m.media-amazon.com/images/M/MV5BNzAyOWNiMjAtNWUzMi00ZDk1LWE5NzYtNDUzMWE1Y2M0NDM2XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Rushmore,1998,1h 33m,7.6,202.0,Le roi des activités parascolaires de l'école préparatoire Rushmore est soumis à une période probatoire.,"https://m.media-amazon.com/images/M/MV5BNmNhMDRiMzEtM2M3Yi00MGM1LTg4MTUtZjM4NjY1NjQ5NWY1XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
Le Dernier Roi d'Écosse,2006,2h 3m,7.6,201.0,"Basé sur les événements d'Idi Amin, le brutal dictateur ougandais, tel que perçu par son médecin personnel pendant les années 1970.","https://m.media-amazon.com/images/M/MV5BZDg4NjA0YzctNWMzMi00NmY1LTkyMGYtZjI4ZjFmZjMzMGE0XkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
Neverland,2004,1h 46m,7.6,215.0,L'histoire de l'amitié de Sir J.M. Barrie avec une famille qui l'a inspiré à créer Peter Pan.,"https://m.media-amazon.com/images/M/MV5BZWIyODcyYzYtNTNhMy00MThjLTkxZDgtMTBiOWY3ODkxNzQ1XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
"Cours, Lola, cours",1998,1h 21m,7.6,213.0,"Après une livraison d'argent qui a mal tourné, Lola dispose de 20Â minutes pour trouver 100, 000 Deutschmarks.","https://m.media-amazon.com/images/M/MV5BZjBhNjY1MGUtMDBiMS00Y2VlLWJiOTMtZmNmNmI5MjgyMzg0XkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
21 grammes,2003,2h 4m,7.6,250.0,"Un accident bizarre réunit un mathématicien gravement malade, une mère éplorée et un ex-détenu repenti.","https://m.media-amazon.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Short Cuts - Les Américains,1993,3h 8m,7.6,49.0,La vie quotidienne de plusieurs résidents de la banlieue de Los Angeles.,"https://m.media-amazon.com/images/M/MV5BYThkMTY5ZTgtYzc0Yy00MTZiLWE5YjUtMDAwM2E4Yjg5MmM5XkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg"
50/50,2011,1h 40m,7.6,347.0,"Le quotidien d'Adam, 27 ans, bascule le jour où il est diagnostiqué d'un cancer. Il l'annonce alors à sa petite amie, son meilleur ami et sa mère qui, tous trois, vont réagir différemment à la nouvelle et conduire le jeune homme à s'interroger sur la manière dont il veut vivre cette épreuve.","https://m.media-amazon.com/images/M/MV5BYTVhYjZlNGYtOGI4ZS00Y2VjLTgwNDYtZmNjOGI5MjFlM2Y5XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Waking Life,2001,1h 39m,7.6,68.0,Un homme voyage à travers un rêve en rencontrant des personnes différentes et en discutant des significations et des buts de l'univers.,"https://m.media-amazon.com/images/M/MV5BMjlhZDI0MjYtNjcyYi00YzI1LThiNjktN2Y4ZDNkY2NhNmYzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"Frost/Nixon, l'heure de vérité",2008,2h 2m,7.6,114.0,Un récit dramatique des interviews télévisées post-Watergate entre l'animateur britannique David Frost et l'ancien président Richard Nixon.,"https://m.media-amazon.com/images/M/MV5BMTYyNGFmNzEtNDliZS00M2FlLTk0NTUtNDQ3NWFjNzI0MjY4XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Le petit prince,2015,1h 48m,7.6,69.0,"Une petite fille vit avec sa mère, qui essaie de la préparer au monde des adultes. Son voisin aviateur introduit la fillette dans un monde extraordinaire où tout est possible, le monde du Petit Prince.","https://m.media-amazon.com/images/M/MV5BYmQ5MzQxNWMtYzU2Yy00NDA0LTg3YWEtZTk2OTY4ODY3YTY5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
La double vie de Véronique,1991,1h 38m,7.6,55.0,"Deux histoires parallèles sur deux femmes identiques, l'une vivant en Pologne, l'autre en France. Elles ne se connaissent pas, mais leurs vies sont profondément liées.","https://m.media-amazon.com/images/M/MV5BMmIyYzJjMDYtMThiMS00NTUzLWEzN2MtNjEwZTRiMDU1ZDUzXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
Control,2007,2h 2m,7.6,70.0,"Un portrait de Ian Curtis, le chanteur énigmatique de Joy Division, que les ennuis personnels, professionnels et romantiques ont conduit à se suicider à l'âge de 23 ans.","https://m.media-amazon.com/images/M/MV5BNTEzOTYwMTcxN15BMl5BanBnXkFtZTcwNTgyNjI1MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Down by Law - Sous le coup de la loi,1986,1h 47m,7.6,57.0,"Deux personnes innocentes sont arrêtées. Un troisième larron curieux, à l'anglais sommaire, les rejoint dans leur cellule. À sa suggestion, ils décident de s'évader de prison. Leur aventure constitue le reste du film.","https://m.media-amazon.com/images/M/MV5BNGRhZDRiMWYtNTUxYi00NGJmLWFhYzUtZjg4ZTI2Yzg3MzJlXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Zelig,1983,1h 19m,7.6,45.0,"Documentaire sur un homme capable de ressembler à n'importe qui, de se comporter comme qui il veut et qui rencontre diverses personnes célèbres.","https://m.media-amazon.com/images/M/MV5BMDJiYzNhZjUtNTRmMS00ZjA1LWFmNjUtZjgwYWY2NGYxYzg3XkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg"
Harry Potter à l'école des sorciers,2001,2h 32m,7.7,900.0,"Ayant été gardé dans l'ignorance de son passé, Harry Potter rejoint la prestigieuse école de sorcellerie de Poudlard. Avec l'aide de Ron et Hermione, ils découvrent que le château renferme un terrible pouvoir prêt à être libéré.","https://m.media-amazon.com/images/M/MV5BMTgwNWM4NzQtMzc5Zi00ZmM1LWFjY2ItOWU0MTMwN2I5Y2Y3XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
This Is England,2006,1h 41m,7.7,132.0,"Un jeune garçon se lie d'amitié avec un gang de skinheads. Les amis deviennent vite comme une famille, et les relations seront poussées à leurs limites ultimes.","https://m.media-amazon.com/images/M/MV5BOWM0YjZkNzQtMjRkMi00ODU2LWIzNDEtYTg1MjU0YjMyNzdkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Sicario,2015,2h 1m,7.7,505.0,Un agent du FBI idéaliste est recruté par un groupe de travail gouvernemental pour aider à lutter contre la drogue au niveau de la zone frontalière entre les États-Unis et le Mexique.,"https://m.media-amazon.com/images/M/MV5BYmNlMTA0YjctOWViZS00OGE1LThhYTItZDk4NTJiYTk2ZTZkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Raiponce,2010,1h 40m,7.7,518.0,"Raiponce, à la longue chevelure magique, a passé toute sa vie dans une tour, mais maintenant qu'un voleur en fuite est tombé sur elle, elle est sur le point de découvrir le monde pour la première fois et qui elle est vraiment.","https://m.media-amazon.com/images/M/MV5BMmM2OTYyYjctZjRjOS00OTI5LTk1ZTQtOGM0ZDIwOTg4ZGZjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Blue Velvet,1986,2h,7.7,231.0,"La découverte d'une oreille coupée dans un champ amène un jeune homme à se lancer dans une enquête autour d'une belle et mystérieuse chanteuse de boîte de nuit, et d'un groupe de criminels psychopathes qui ont kidnappé l'enfant de celle-ci.","https://m.media-amazon.com/images/M/MV5BNTI0MDAyOTgtMGNhZS00NWQ3LTk4ZmUtZmFiN2JmYTM0M2VlXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
Les Goonies,1985,1h 54m,7.7,311.0,"Les Goonies sont un groupe d'amis qui vivent à Goon Docks, Astoria, mais leurs maisons ont été achetées et vont être démolies. Cependant, ils vivront leur dernière aventure à la recherche d'un trésor qui pourra sauver le quartier.","https://m.media-amazon.com/images/M/MV5BY2VhZjc3ZjctMzRjMC00NTExLWEzNmYtZDZjNGE3MDZiMDQ1XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
(500) jours ensemble,2009,1h 35m,7.7,587.0,Une comédie romantique décalée sur une femme qui ne croit pas au véritable amour et au jeune homme qui tombe amoureux d'elle.,"https://m.media-amazon.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_QL75_UX140_CR0,4,140,207_.jpg"
La Chute du faucon noir,2001,2h 24m,7.7,438.0,"Somalie, 160 soldats d'élite américains descendent en parachute afin de capturer deux lieutenants d'un chef militaire tourne veste, et se retrouvent dans une bataille désespérée avec une force importante de Somaliens lourdement armés.","https://m.media-amazon.com/images/M/MV5BOTIxOThjOWUtMDc1ZS00ZGIxLWE3NjMtYWI3YmM4NTA0Y2NmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Harry Potter et la Coupe de feu,2005,2h 37m,7.7,714.0,"Cette quatrième année est marquée par le « Tournoi des trois sorciers », évènement réservé aux élèves les plus âgés, mais où Harry a été forcé de participer. Maintenant en lice, il va devoir venir à bout des épreuves et en sortir vivant.","https://m.media-amazon.com/images/M/MV5BMjVhYTJiMTAtZTk2NC00ZjlhLTllOTAtMzM4YjIzZDMyMDlkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Y a-t-il un pilote dans l'avion ?,1980,1h 28m,7.7,272.0,Un homme avec une phobie de voler doit s'assurer que l'avion atterrit en toute sécurité après que les pilotes soient tombés malades.,"https://m.media-amazon.com/images/M/MV5BZDZiZDU0ZjQtMTk3Ni00YTRkLWEzYTctYjFhMGI5N2I5NzI1XkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
French Connection,1971,1h 44m,7.7,144.0,Deux flics newyorkais du bureau des stupéfiants tombent sur une affaire de contrebande de drogue avec la French Connection.,"https://m.media-amazon.com/images/M/MV5BNjUzMzcyZDAtZTFmOC00ODZmLTlmZGEtYTUxYzYxNmExYTY4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
La vie d'Adèle,2013,3h,7.7,168.0,"La vie d'Adèle change lorsqu'elle rencontre Emma, une jeune femme aux cheveux bleus qui lui permettra de découvrir le désir et de s'affirmer en tant que femme et en tant qu'adulte. Devant les autres, Adèle grandit, se cherche, se perd et finit par se retrouver à travers amour et perte.","https://m.media-amazon.com/images/M/MV5BNDY0MWE2OGQtNjY1MS00YjE0LWJjZTgtNjM5YWNjMzkwOWU5XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Very Bad Trip,2009,1h 40m,7.7,882.0,"Trois copains se réveillent d'un enterrement de vie de garçon à Las Vegas, sans aucun souvenir de la nuit précédente et du futur marié disparu. Ils font le tour de la ville pour retrouver leur ami avant le mariage.","https://m.media-amazon.com/images/M/MV5BYmIyODg0N2EtYjg5NC00NjdlLWFkZTgtMmE0NzI4ZGM5ODk1XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
Ex Machina,2014,1h 48m,7.7,615.0,Un jeune programmeur est sélectionné pour participer à une expérience novatrice d'intelligence synthétique en évaluant les qualités humaines d'un humanoïde doté d'intelligence artificielle à couper le souffle.,"https://m.media-amazon.com/images/M/MV5BNGUyODhlMjEtYTVkMy00YTg4LWFhNDQtZDhkODkyMmQ2OTY4XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
